Localización;Precio m2 jul 2024;Variación mensual;Variación trimestral;Variación anual;Máximo histórico;Variación máximo
España;13,1 €/m2;- 1,6 %;+ 1,3 %;+ 10,4 %;13,4 €/m2 jun 2024;- 1,6 %
Andalucía;11,4 €/m2;- 0,8 %;+ 0,9 %;+ 11,0 %;11,5 €/m2 jun 2024;- 0,8 %
Aragón;9,3 €/m2;+ 1,2 %;+ 4,7 %;+ 8,8 %;9,3 €/m2 jul 2024;0,0 %
Asturias;9,0 €/m2;+ 0,4 %;+ 4,1 %;+ 10,4 %;12,5 €/m2 feb 2008;- 27,8 %
Baleares;18,9 €/m2;- 5,1 %;+ 6,2 %;+ 14,6 %;19,9 €/m2 jun 2024;- 5,1 %
Canarias;13,9 €/m2;- 1,9 %;+ 2,2 %;+ 9,7 %;14,2 €/m2 jun 2024;- 1,9 %
Cantabria;11,5 €/m2;- 2,9 %;+ 6,8 %;+ 8,1 %;14,8 €/m2 jul 2007;- 22,0 %
Castilla y León;8,2 €/m2;0,0 %;+ 1,9 %;+ 8,1 %;8,2 €/m2 jun 2024;0,0 %
Castilla-La Mancha;7,1 €/m2;+ 0,5 %;+ 1,7 %;+ 8,3 %;7,1 €/m2 jul 2024;0,0 %
Cataluña;16,7 €/m2;- 3,6 %;- 0,6 %;+ 9,4 %;17,4 €/m2 jun 2024;- 3,6 %
Comunitat Valenciana;11,2 €/m2;+ 0,9 %;+ 5,3 %;+ 14,1 %;11,2 €/m2 jul 2024;0,0 %
Euskadi;13,9 €/m2;- 0,4 %;+ 2,7 %;+ 7,9 %;14,0 €/m2 jun 2024;- 0,4 %
Extremadura;7,1 €/m2;+ 6,1 %;+ 10,3 %;+ 16,6 %;7,1 €/m2 jul 2024;0,0 %
Galicia;8,9 €/m2;- 1,2 %;+ 2,1 %;+ 9,2 %;9,6 €/m2 mayo 2007;- 7,7 %
La Rioja;8,0 €/m2;- 0,7 %;+ 1,0 %;+ 5,5 %;8,0 €/m2 jun 2024;- 0,7 %
Madrid Comunidad;18,1 €/m2;+ 0,2 %;+ 4,1 %;+ 16,0 %;18,1 €/m2 jul 2024;0,0 %
Melilla;10,4 €/m2;+ 3,9 %;+ 4,9 %;+ 12,0 %;10,4 €/m2 jul 2024;0,0 %
Murcia Región;8,6 €/m2;+ 2,7 %;+ 9,3 %;+ 8,0 %;8,6 €/m2 jul 2024;0,0 %
Navarra;10,0 €/m2;- 0,2 %;- 1,2 %;+ 3,3 %;10,2 €/m2 mayo 2024;0,0 %
